PC1,Fatigue
9.87873909363165,2.5753898258671013
10.031172462712211,2.8275129306682203
8.564505470771486,1.990678795583655
8.445696071343189,2.446646112777168
8.598129440423751,2.6826762534420454
7.708746314481721,1.6151762990713496
7.505888140097683,2.859698858940704
7.868927889876768,1.8029275473275024
9.206914276031862,1.776105940433766
9.004056101647823,2.7041335389570342
9.367095851426908,1.8619350824937213
10.324052905783065,1.7331913694037884
10.121194731399024,2.763141074123254
10.48423448117811,1.529347157011394
9.14270583316986,1.7170984052675466
8.93984765878582,3.042085785818109
9.302887408564906,1.8512064397362271
7.988511849972956,2.795327002395737
7.909584404156571,2.4305531486409264
8.084722853204841,1.6366335845863385
8.911588804342996,3.170829498908042
8.83266135852661,2.548568218973365
9.00779980757488,2.119422508673588
9.96224214989744,2.8275129306682203
9.883314704081052,2.55929686173086
10.058453153129324,2.167701401082313
8.847380361480994,2.956256643758153
8.768452915664607,2.4412817913984206
8.943591364712878,1.7653772976762716
